GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US17031803100,17031803100,"Census Tract 8031, Cook County, Illinois",1604,148,1359,131,1249,127,110,58,86,51,16,24,0,11,0,11,8,12,128,48,16,17,0,11,0,11,112,45,0,11,0,11,0,11,0,11,31,30,13,15,73,41
1400000US17031803200,17031803200,"Census Tract 8032, Cook County, Illinois",2265,225,1937,264,1862,250,75,74,75,74,0,15,0,15,0,15,0,15,177,98,0,15,0,15,0,15,177,98,0,15,0,15,0,15,0,15,23,38,0,15,128,95
1400000US17031803300,17031803300,"Census Tract 8033, Cook County, Illinois",2864,264,2143,278,2132,277,11,18,11,18,0,15,0,15,0,15,0,15,422,143,17,20,0,15,16,20,389,137,0,15,0,15,0,15,12,19,132,79,35,55,120,74
1400000US17031803400,17031803400,"Census Tract 8034, Cook County, Illinois",3336,329,2534,303,2418,293,116,73,98,65,0,15,0,15,0,15,18,30,351,132,0,15,0,15,34,42,317,131,0,15,0,15,25,28,49,53,39,44,33,54,305,149
1400000US17031803500,17031803500,"Census Tract 8035, Cook County, Illinois",2719,234,2196,241,2054,242,142,98,142,98,0,15,0,15,0,15,0,15,253,126,25,55,0,15,14,22,214,105,0,15,0,15,0,15,16,26,21,34,0,15,233,102
1400000US17031803603,17031803603,"Census Tract 8036.03, Cook County, Illinois",3304,256,2861,254,2655,257,206,121,171,117,0,15,18,29,0,15,17,27,146,82,0,15,0,15,0,15,146,82,0,15,0,15,0,15,0,15,13,22,28,32,256,138
1400000US17031803604,17031803604,"Census Tract 8036.04, Cook County, Illinois",2376,186,2020,182,1864,162,156,81,147,75,0,11,9,15,0,11,0,11,161,81,0,11,0,11,17,30,144,77,0,11,0,11,0,11,0,11,0,11,13,21,182,101
1400000US17031803605,17031803605,"Census Tract 8036.05, Cook County, Illinois",3873,362,3442,366,3063,326,379,172,369,170,0,15,0,15,10,18,0,15,280,115,0,15,0,15,37,40,243,112,0,15,0,15,0,15,13,20,34,36,0,15,104,70
1400000US17031803606,17031803606,"Census Tract 8036.06, Cook County, Illinois",4159,480,3807,483,2885,335,922,306,617,249,122,97,122,188,47,56,14,23,118,120,0,15,0,15,0,15,118,120,0,15,0,15,15,24,0,15,73,79,0,15,146,132
1400000US17031803607,17031803607,"Census Tract 8036.07, Cook County, Illinois",2626,193,2377,215,2123,198,254,109,219,101,29,27,0,15,6,9,0,15,130,69,11,16,0,15,0,15,119,65,0,15,0,15,0,15,27,29,26,31,0,15,66,39
1400000US17031803608,17031803608,"Census Tract 8036.08, Cook County, Illinois",3898,298,3504,298,3202,290,302,122,267,104,35,43,0,15,0,15,0,15,60,59,0,15,0,15,0,15,60,59,0,15,0,15,0,15,0,15,58,52,18,28,258,107
1400000US17031803610,17031803610,"Census Tract 8036.10, Cook County, Illinois",4056,315,3675,324,3373,335,302,185,281,176,21,31,0,15,0,15,0,15,108,68,0,15,0,15,0,15,108,68,0,15,0,15,0,15,0,15,97,89,33,38,143,73
1400000US17031803611,17031803611,"Census Tract 8036.11, Cook County, Illinois",3138,398,2843,362,2371,314,472,238,333,206,133,128,6,37,0,15,0,15,85,63,0,15,0,15,0,15,85,63,0,15,0,15,0,15,36,60,56,68,22,35,96,88
1400000US17031803612,17031803612,"Census Tract 8036.12, Cook County, Illinois",2015,306,1845,239,1461,260,384,162,378,159,6,11,0,11,0,11,0,11,21,21,0,11,0,11,0,11,21,21,0,11,0,11,0,11,43,63,27,43,48,63,31,28
1400000US17031803701,17031803701,"Census Tract 8037.01, Cook County, Illinois",1504,196,1285,192,1223,178,62,51,36,35,26,38,0,11,0,11,0,11,88,51,9,14,0,11,0,11,79,46,0,11,0,11,6,10,0,11,0,11,22,26,103,63
1400000US17031803702,17031803702,"Census Tract 8037.02, Cook County, Illinois",3092,365,2783,388,2641,367,142,87,142,87,0,15,0,15,0,15,0,15,170,77,0,15,0,15,0,15,170,77,0,15,0,15,0,15,0,15,48,61,30,44,61,54
1400000US17031803800,17031803800,"Census Tract 8038, Cook County, Illinois",2560,219,2279,190,2000,202,279,123,253,119,0,11,11,16,15,16,0,11,76,43,1,2,0,11,0,11,75,43,0,11,0,11,0,11,0,11,133,147,12,16,60,38
1400000US17031803901,17031803901,"Census Tract 8039.01, Cook County, Illinois",1696,202,1539,195,1419,177,120,82,102,75,7,12,9,15,2,6,0,11,34,26,3,6,0,11,7,11,24,23,0,11,0,11,0,11,0,11,76,57,5,9,42,37
1400000US17031803902,17031803902,"Census Tract 8039.02, Cook County, Illinois",2038,170,1830,170,1547,180,283,127,283,127,0,11,0,11,0,11,0,11,71,56,0,11,0,11,0,11,71,56,0,11,0,11,9,15,7,11,0,11,3,8,118,94
